Variable Name,Variable Description Old,Data File Name,Data File Description,Begin Year,EndYear,Component,Use Constraints,Variable Description New,Full Name,Year,Demo File Name
LBXMOPCT,Monocyte percent (%),CBC_E,Complete Blood Count with 5-part Differential - Whole Blood,2007,2008,Laboratory,None,Monocyte percent (%),LBXMOPCT: Monocyte percent (%),2007-2008,DEMO_E
LBXMPSI,Mean platelet volume (fL),CBC_E,Complete Blood Count with 5-part Differential - Whole Blood,2007,2008,Laboratory,None,Mean platelet volume (fL),LBXMPSI: Mean platelet volume (fL),2007-2008,DEMO_E
LBXNEPCT,Segmented neutrophils percent (%),CBC_E,Complete Blood Count with 5-part Differential - Whole Blood,2007,2008,Laboratory,None,Segmented neutrophils percent (%),LBXNEPCT: Segmented neutrophils percent (%),2007-2008,DEMO_E
LBXPLTSI,Platelet count (%) SI,CBC_E,Complete Blood Count with 5-part Differential - Whole Blood,2007,2008,Laboratory,None,Platelet count (1000 cells/uL),LBXPLTSI: Platelet count (1000 cells/uL),2007-2008,DEMO_E
LBXRBCSI,Red cell count SI,CBC_E,Complete Blood Count with 5-part Differential - Whole Blood,2007,2008,Laboratory,None,Red blood cell count (million cells/uL),LBXRBCSI: Red blood cell count (million cells/uL),2007-2008,DEMO_E
LBXRDW,Red cell distribution width (%),CBC_E,Complete Blood Count with 5-part Differential - Whole Blood,2007,2008,Laboratory,None,Red cell distribution width (%),LBXRDW: Red cell distribution width (%),2007-2008,DEMO_E
LBXWBCSI,White blood cell count:  SI,CBC_E,Complete Blood Count with 5-part Differential - Whole Blood,2007,2008,Laboratory,None,White blood cell count (1000 cells/uL),LBXWBCSI: White blood cell count (1000 cells/uL),2007-2008,DEMO_E
LBXGLU,Fasting Glucose (mg/dL),GLU_E,Plasma Fasting Glucose & Insulin,2007,2008,Laboratory,None,Fasting Glucose (mg/dL),LBXGLU: Fasting Glucose (mg/dL),2007-2008,DEMO_E
LBXIN,Insulin (uU/mL),GLU_E,Plasma Fasting Glucose & Insulin,2007,2008,Laboratory,None,Insulin (μU/mL),LBXIN: Insulin (μU/mL),2007-2008,DEMO_E
LBXGH,Glycohemoglobin (%),GHB_E,Glycohemoglobin,2007,2008,Laboratory,None,Glycohemoglobin (%),LBXGH: Glycohemoglobin (%),2007-2008,DEMO_E
URXPREG,Pregnancy test result,UCPREG_E,Pregnancy Test - Urine,2007,2008,Laboratory,None,Urine Pregnancy Result,URXPREG: Urine Pregnancy Result,2007-2008,DEMO_E
LBXATG,Thyroglobulin antibodies (IU/mL),THYROD_E,Thyroid Profile,2007,2008,Laboratory,None,Thyroglobulin antibodies (pmol/L),LBXATG: Thyroglobulin antibodies (pmol/L),2007-2008,DEMO_E
LBXT3F,"Triiodothyronine (T3), free (pg/mL)",THYROD_E,Thyroid Profile,2007,2008,Laboratory,None,"Triiodothyronine, free (FT3) (pmol/L)","LBXT3F: Triiodothyronine, free (FT3) (pmol/L)",2007-2008,DEMO_E
LBXT4F,"Thyroxine, free (ng/dL)",THYROD_E,Thyroid Profile,2007,2008,Laboratory,None,"Thyroxine, free (FT4) (ng/dL)","LBXT4F: Thyroxine, free (FT4) (ng/dL)",2007-2008,DEMO_E
LBXTGN,Thyroglobulin (ng/mL),THYROD_E,Thyroid Profile,2007,2008,Laboratory,None,Thyroglobulin (ng/mL),LBXTGN: Thyroglobulin (ng/mL),2007-2008,DEMO_E
LBXTPO,Thyroid peroxidase antibodies (IU/mL),THYROD_E,Thyroid Profile,2007,2008,Laboratory,None,Thyroid Peroxidase (TPO) antibodies (IU/mL),LBXTPO: Thyroid Peroxidase (TPO) antibodies (IU/mL),2007-2008,DEMO_E
LBXTSH1,Thyroid stimulating hormone (uIU/mL),THYROD_E,Thyroid Profile,2007,2008,Laboratory,None,Thyroid stimulating hormone (TSH) (mIU/L),LBXTSH1: Thyroid stimulating hormone (TSH) (mIU/L),2007-2008,DEMO_E
LBXTT3,"Triiodothyronine (T3), total (ng/dL)",THYROD_E,Thyroid Profile,2007,2008,Laboratory,None,"Triiodothyronine, total (TT3) (ng/dL)","LBXTT3: Triiodothyronine, total (TT3) (ng/dL)",2007-2008,DEMO_E
LBXTT4,"Thyroxine, total (T4) (ug/dL)",THYROD_E,Thyroid Profile,2007,2008,Laboratory,None,"Thyroxine, total (TT4) (nmol/L)","LBXTT4: Thyroxine, total (TT4) (nmol/L)",2007-2008,DEMO_E
LBXFER,Ferritin (ng/mL),FERTIN_E,Ferritin,2007,2008,Laboratory,None,Ferritin (ng/mL),LBXFER: Ferritin (ng/mL),2007-2008,DEMO_E
LBXTFR,Transferrin Receptor (mg/L),TFR_E,Transferrin Receptor,2007,2008,Laboratory,None,Transferrin receptor (mg/L),LBXTFR: Transferrin receptor (mg/L),2007-2008,DEMO_E
URXUBA,"Barium, urine (ug/L)",UHM_E,Metals - Urine,2007,2008,Laboratory,None,"Barium, urine (ug/L)","URXUBA: Barium, urine (ug/L)",2007-2008,DEMO_E
URXUBE,"Beryllium, urine (ug/L)",UHM_E,Metals - Urine,2007,2008,Laboratory,None,"Beryllium, urine (ug/L)","URXUBE: Beryllium, urine (ug/L)",2007-2008,DEMO_E
URXUCD,"Cadmium, urine (ug/L)",UHM_E,Metals - Urine,2007,2008,Laboratory,None,"Cadmium, urine (ug/L)","URXUCD: Cadmium, urine (ug/L)",2007-2008,DEMO_E
URXUCO,"Cobalt, urine (ug/L)",UHM_E,Metals - Urine,2007,2008,Laboratory,None,"Cobalt, urine (ug/L)","URXUCO: Cobalt, urine (ug/L)",2007-2008,DEMO_E
URXUCR,"Creatinine, urine (mg/dL)",UHM_E,Metals - Urine,2007,2008,Laboratory,None,"Creatinine, urine (mg/dL)","URXUCR: Creatinine, urine (mg/dL)",2007-2008,DEMO_E
URXUCS,"Cesium, urine (ug/L)",UHM_E,Metals - Urine,2007,2008,Laboratory,None,"Cesium, urine (ug/L)","URXUCS: Cesium, urine (ug/L)",2007-2008,DEMO_E
URXUMO,"Molybdenum, urine (ug/L)",UHM_E,Metals - Urine,2007,2008,Laboratory,None,"Molybdenum, urine (ug/L)","URXUMO: Molybdenum, urine (ug/L)",2007-2008,DEMO_E
URXUPB,"Lead, urine (ug/L)",UHM_E,Metals - Urine,2007,2008,Laboratory,None,"Lead, urine (ug/L)","URXUPB: Lead, urine (ug/L)",2007-2008,DEMO_E
URXUPB,"Lead, urine (ug/L)",UHM_E,Metals - Urine,2007,2008,Laboratory,None,"Lead, urine (ug/L)","URXUPB: Lead, urine (ug/L)",2007-2008,DEMO_E
URXUPT,"Platinum, urine (ug/L)",UHM_E,Metals - Urine,2007,2008,Laboratory,None,"Platinum, urine (ug/L)","URXUPT: Platinum, urine (ug/L)",2007-2008,DEMO_E
URXUSB,"Antimony, urine (ug/L)",UHM_E,Metals - Urine,2007,2008,Laboratory,None,"Antimony, urine (ug/L)","URXUSB: Antimony, urine (ug/L)",2007-2008,DEMO_E
URXUTL,"Thallium, urine (ug/L)",UHM_E,Metals - Urine,2007,2008,Laboratory,None,"Thallium, urine (ug/L)","URXUTL: Thallium, urine (ug/L)",2007-2008,DEMO_E
URXUTU,"Tungsten, urine (ug/L)",UHM_E,Metals - Urine,2007,2008,Laboratory,None,"Tungsten, urine (ug/L)","URXUTU: Tungsten, urine (ug/L)",2007-2008,DEMO_E
URXUUR,"Uranium, urinary (ug/L)",UHM_E,Metals - Urine,2007,2008,Laboratory,None,"Uranium, urine (ug/L)","URXUUR: Uranium, urine (ug/L)",2007-2008,DEMO_E
URXUCR,"Creatinine, urine (mg/dL)",UHG_E,Mercury: Inorganic - Urine,2007,2008,Laboratory,None,"Creatinine, urine (mg/dL)","URXUCR: Creatinine, urine (mg/dL)",2007-2008,DEMO_E
URXUHG,"Mercury, urine (ug/L)",UHG_E,Mercury: Inorganic - Urine,2007,2008,Laboratory,None,Urine Mercury (ug/L),URXUHG: Urine Mercury (ug/L),2007-2008,DEMO_E
URXUCR,"Creatinine, urine (mg/dL)",UIO_E,Iodine - Urine,2007,2008,Laboratory,None,"Creatinine, urine (mg/dL)","URXUCR: Creatinine, urine (mg/dL)",2007-2008,DEMO_E
URXUIO,"Iodine, urine (ug/L)",UIO_E,Iodine - Urine,2007,2008,Laboratory,None,"Iodine, urine (ug/L)","URXUIO: Iodine, urine (ug/L)",2007-2008,DEMO_E
URXUAB,Urinary Arsenobetaine (ug/L),UAS_E,Arsenics - Total & Speciated - Urine,2007,2008,Laboratory,None,Urinary Arsenobetaine (ug/L),URXUAB: Urinary Arsenobetaine (ug/L),2007-2008,DEMO_E
URXUAC,Urinary Arsenocholine (ug/L),UAS_E,Arsenics - Total & Speciated - Urine,2007,2008,Laboratory,None,Urinary Arsenocholine (ug/L),URXUAC: Urinary Arsenocholine (ug/L),2007-2008,DEMO_E
URXUAS,Urinary total arsenic (ug/L),UAS_E,Arsenics - Total & Speciated - Urine,2007,2008,Laboratory,None,"Arsenic, Total - Urine (ug/L)","URXUAS: Arsenic, Total - Urine (ug/L)",2007-2008,DEMO_E
URXUAS3,Urinary Arsenous acid (ug/L),UAS_E,Arsenics - Total & Speciated - Urine,2007,2008,Laboratory,None,Urinary Arsenous acid (ug/L),URXUAS3: Urinary Arsenous acid (ug/L),2007-2008,DEMO_E
URXUAS5,Urinary Arsenic acid (ug/L),UAS_E,Arsenics - Total & Speciated - Urine,2007,2008,Laboratory,None,Urinary Arsenic acid (ug/L),URXUAS5: Urinary Arsenic acid (ug/L),2007-2008,DEMO_E
URXUCR,Urinary creatinine (mg/dL),UAS_E,Arsenics - Total & Speciated - Urine,2007,2008,Laboratory,None,"Creatinine, urine (mg/dL)","URXUCR: Creatinine, urine (mg/dL)",2007-2008,DEMO_E
URXUDMA,Urinary Dimethylarsinic acid (ug/L),UAS_E,Arsenics - Total & Speciated - Urine,2007,2008,Laboratory,None,Urinary Dimethylarsinic acid (ug/L),URXUDMA: Urinary Dimethylarsinic acid (ug/L),2007-2008,DEMO_E
URXUMMA,Urinary Monomethylarsonic acid (ug/L),UAS_E,Arsenics - Total & Speciated - Urine,2007,2008,Laboratory,None,Urinary Monomethylarsonic acid (ug/L),URXUMMA: Urinary Monomethylarsonic acid (ug/L),2007-2008,DEMO_E
URXUTM,Urinary Trimethylarsine Oxide (ug/L),UAS_E,Arsenics - Total & Speciated - Urine,2007,2008,Laboratory,None,Urinary Trimethylarsine Oxide (ug/L),URXUTM: Urinary Trimethylarsine Oxide (ug/L),2007-2008,DEMO_E
URXUTM,Urinary Trimethylarsine Oxide (ug/L),UAS_E,Arsenics - Total & Speciated - Urine,2007,2008,Laboratory,None,Urinary Trimethylarsine Oxide (ug/L),URXUTM: Urinary Trimethylarsine Oxide (ug/L),2007-2008,DEMO_E
LBXBCD,Cadmium (ug/L),PbCd_E,"Cadmium, Lead, & Total Mercury - Blood",2007,2008,Laboratory,None,Blood cadmium (ug/L),LBXBCD: Blood cadmium (ug/L),2007-2008,DEMO_E
LBXBPB,Lead (ug/dL),PbCd_E,"Cadmium, Lead, & Total Mercury - Blood",2007,2008,Laboratory,None,Blood lead (ug/dL),LBXBPB: Blood lead (ug/dL),2007-2008,DEMO_E
LBXBPB,Lead (ug/dL),PbCd_E,"Cadmium, Lead, & Total Mercury - Blood",2007,2008,Laboratory,None,Blood lead (ug/dL),LBXBPB: Blood lead (ug/dL),2007-2008,DEMO_E
LBXTHG,"Mercury, total (ug/L)",PbCd_E,"Cadmium, Lead, & Total Mercury - Blood",2007,2008,Laboratory,None,"Blood mercury, total (ug/L)","LBXTHG: Blood mercury, total (ug/L)",2007-2008,DEMO_E
URXCRS,"Creatinine, urine (umol/L)",ALB_CR_E,Albumin & Creatinine - Urine,2007,2008,Laboratory,None,"Creatinine, urine (umol/L)","URXCRS: Creatinine, urine (umol/L)",2007-2008,DEMO_E
URXUCR,"Creatinine, urine (mg/dL)",ALB_CR_E,Albumin & Creatinine - Urine,2007,2008,Laboratory,None,"Creatinine, urine (mg/dL)","URXUCR: Creatinine, urine (mg/dL)",2007-2008,DEMO_E
URXUMA,"Albumin, urine (ug/mL)",ALB_CR_E,Albumin & Creatinine - Urine,2007,2008,Laboratory,None,"Albumin, urine (ug/mL)","URXUMA: Albumin, urine (ug/mL)",2007-2008,DEMO_E
URXUMS,"Albumin, urine (mg/L)",ALB_CR_E,Albumin & Creatinine - Urine,2007,2008,Laboratory,None,"Albumin, urine (mg/L)","URXUMS: Albumin, urine (mg/L)",2007-2008,DEMO_E
LBXSAL,Albumin (g/dL),BIOPRO_E,Standard Biochemistry Profile,2007,2008,Laboratory,None,"Albumin, refrigerated serum (g/dL)","LBXSAL: Albumin, refrigerated serum (g/dL)",2007-2008,DEMO_E
LBXSAPSI,Alkaline phosphotase (U/L),BIOPRO_E,Standard Biochemistry Profile,2007,2008,Laboratory,None,Alkaline Phosphatase (ALP) (IU/L),LBXSAPSI: Alkaline Phosphatase (ALP) (IU/L),2007-2008,DEMO_E
LBXSASSI,Asparate aminotransferase (AST)(U/L),BIOPRO_E,Standard Biochemistry Profile,2007,2008,Laboratory,None,Aspartate Aminotransferase (AST) (U/L),LBXSASSI: Aspartate Aminotransferase (AST) (U/L),2007-2008,DEMO_E
LBXSATSI,Alanine aminotransferase (ALT)(U/L),BIOPRO_E,Standard Biochemistry Profile,2007,2008,Laboratory,None,Alanine Aminotransferase (ALT) (U/L),LBXSATSI: Alanine Aminotransferase (ALT) (U/L),2007-2008,DEMO_E
LBXSBU,Blood urea nitrogen (mg/dL),BIOPRO_E,Standard Biochemistry Profile,2007,2008,Laboratory,None,Blood Urea Nitrogen (mg/dL),LBXSBU: Blood Urea Nitrogen (mg/dL),2007-2008,DEMO_E
LBXSC3SI,Bicarbonate(mmol/L),BIOPRO_E,Standard Biochemistry Profile,2007,2008,Laboratory,None,Bicarbonate (mmol/L),LBXSC3SI: Bicarbonate (mmol/L),2007-2008,DEMO_E
LBXSCA,Total calcium (mg/dL),BIOPRO_E,Standard Biochemistry Profile,2007,2008,Laboratory,None,Total Calcium (mg/dL),LBXSCA: Total Calcium (mg/dL),2007-2008,DEMO_E
LBXSCH,Cholesterol (mg/dL),BIOPRO_E,Standard Biochemistry Profile,2007,2008,Laboratory,None,"Total Cholesterol, refrigerated serum (mg/dL)","LBXSCH: Total Cholesterol, refrigerated serum (mg/dL)",2007-2008,DEMO_E
LBXSCLSI,Chloride (mmol/L),BIOPRO_E,Standard Biochemistry Profile,2007,2008,Laboratory,None,Chloride (mmol/L),LBXSCLSI: Chloride (mmol/L),2007-2008,DEMO_E
LBXSCR,Creatinine (mg/dL),BIOPRO_E,Standard Biochemistry Profile,2007,2008,Laboratory,None,"Creatinine, refrigerated serum (mg/dL)","LBXSCR: Creatinine, refrigerated serum (mg/dL)",2007-2008,DEMO_E
LBXSGB,Globulin (g/dL),BIOPRO_E,Standard Biochemistry Profile,2007,2008,Laboratory,None,Globulin (g/dL),LBXSGB: Globulin (g/dL),2007-2008,DEMO_E
LBXSGL,"Glucose, serum (mg/dL)",BIOPRO_E,Standard Biochemistry Profile,2007,2008,Laboratory,None,"Glucose, refrigerated serum (mg/dL)","LBXSGL: Glucose, refrigerated serum (mg/dL)",2007-2008,DEMO_E
LBXSGTSI,Gamma glutamyl transferase (U/L),BIOPRO_E,Standard Biochemistry Profile,2007,2008,Laboratory,None,Gamma Glutamyl Transferase (GGT) (IU/L),LBXSGTSI: Gamma Glutamyl Transferase (GGT) (IU/L),2007-2008,DEMO_E
LBXSIR,"Iron, refigerated (ug/dL)",BIOPRO_E,Standard Biochemistry Profile,2007,2008,Laboratory,None,"Iron, refrigerated serum (ug/dL)","LBXSIR: Iron, refrigerated serum (ug/dL)",2007-2008,DEMO_E
LBXSKSI,Potassium (mmol/L),BIOPRO_E,Standard Biochemistry Profile,2007,2008,Laboratory,None,Potassium (mmol/L),LBXSKSI: Potassium (mmol/L),2007-2008,DEMO_E
LBXSLDSI,Lactate dehydrogenase LDH (U/L),BIOPRO_E,Standard Biochemistry Profile,2007,2008,Laboratory,None,Lactate Dehydrogenase (LDH) (IU/L),LBXSLDSI: Lactate Dehydrogenase (LDH) (IU/L),2007-2008,DEMO_E
LBXSNASI,Sodium (mmol/L),BIOPRO_E,Standard Biochemistry Profile,2007,2008,Laboratory,None,Sodium (mmol/L),LBXSNASI: Sodium (mmol/L),2007-2008,DEMO_E
LBXSOSSI,Osmolality (mmol/Kg),BIOPRO_E,Standard Biochemistry Profile,2007,2008,Laboratory,None,Osmolality (mmol/Kg),LBXSOSSI: Osmolality (mmol/Kg),2007-2008,DEMO_E
LBXSPH,Phosphorus (mg/dL),BIOPRO_E,Standard Biochemistry Profile,2007,2008,Laboratory,None,Phosphorus (mg/dL),LBXSPH: Phosphorus (mg/dL),2007-2008,DEMO_E
LBXSTB,Total bilirubin (mg/dL),BIOPRO_E,Standard Biochemistry Profile,2007,2008,Laboratory,None,Total Bilirubin (mg/dL),LBXSTB: Total Bilirubin (mg/dL),2007-2008,DEMO_E
LBXSTP,Total protein (g/dL),BIOPRO_E,Standard Biochemistry Profile,2007,2008,Laboratory,None,Total Protein (g/dL),LBXSTP: Total Protein (g/dL),2007-2008,DEMO_E
LBXSTR,Triglycerides (mg/dL),BIOPRO_E,Standard Biochemistry Profile,2007,2008,Laboratory,None,"Triglycerides, refrigerated serum (mg/dL)","LBXSTR: Triglycerides, refrigerated serum (mg/dL)",2007-2008,DEMO_E
LBXSUA,Uric acid (mg/dL),BIOPRO_E,Standard Biochemistry Profile,2007,2008,Laboratory,None,Uric acid (mg/dL),LBXSUA: Uric acid (mg/dL),2007-2008,DEMO_E
URX14D,"2,5-dichlorophenol (ug/L) result",PP_D,Pesticides - Environmental - Urine,2005,2006,Laboratory,None,"2,5-dichlorophenol (ng/mL)","URX14D: 2,5-dichlorophenol (ng/mL)",2005-2006,DEMO_D
URX1TB,"2,4,5-trichlorophenol (ug/L) result",PP_D,Pesticides - Environmental - Urine,2005,2006,Laboratory,None,"2,4,5-trichlorophenol (ug/L) result","URX1TB: 2,4,5-trichlorophenol (ug/L) result",2005-2006,DEMO_D
URX3TB,"2,4,6-trichlorophenol (ug/L) result",PP_D,Pesticides - Environmental - Urine,2005,2006,Laboratory,None,"2,4,6-trichlorophenol (ug/L) result","URX3TB: 2,4,6-trichlorophenol (ug/L) result",2005-2006,DEMO_D
URXDCB,"2,4-dichlorophenol (ug/L) result",PP_D,Pesticides - Environmental - Urine,2005,2006,Laboratory,None,"2,4-dichlorophenol (ng/mL)","URXDCB: 2,4-dichlorophenol (ng/mL)",2005-2006,DEMO_D
URXOPP,O-Phenyl phenol result,PP_D,Pesticides - Environmental - Urine,2005,2006,Laboratory,None,O-Phenyl phenol (ug/L) result,URXOPP: O-Phenyl phenol (ug/L) result,2005-2006,DEMO_D
URXUCR,Urinary creatinine (mg/dL),PP_D,Pesticides - Environmental - Urine,2005,2006,Laboratory,None,"Creatinine, urine (mg/dL)","URXUCR: Creatinine, urine (mg/dL)",2005-2006,DEMO_D
URX14D,"2,5-dichlorophenol (ug/L) result",L24PP_C,Pesticides - Environmental - Urine,2003,2004,Laboratory,None,"2,5-dichlorophenol (ng/mL)","URX14D: 2,5-dichlorophenol (ng/mL)",2003-2004,DEMO_C
URX1TB,"2,4,5-trichlorophenol (ug/L) result",L24PP_C,Pesticides - Environmental - Urine,2003,2004,Laboratory,None,"2,4,5-trichlorophenol (ug/L) result","URX1TB: 2,4,5-trichlorophenol (ug/L) result",2003-2004,DEMO_C
URX3TB,"2,4,6-trichlorophenol (ug/L) result",L24PP_C,Pesticides - Environmental - Urine,2003,2004,Laboratory,None,"2,4,6-trichlorophenol (ug/L) result","URX3TB: 2,4,6-trichlorophenol (ug/L) result",2003-2004,DEMO_C
URXDCB,"2,4-dichlorophenol (ug/L) result",L24PP_C,Pesticides - Environmental - Urine,2003,2004,Laboratory,None,"2,4-dichlorophenol (ng/mL)","URXDCB: 2,4-dichlorophenol (ng/mL)",2003-2004,DEMO_C
URXOPP,O-Phenyl phenol (ug/L) result,L24PP_C,Pesticides - Environmental - Urine,2003,2004,Laboratory,None,O-Phenyl phenol (ug/L) result,URXOPP: O-Phenyl phenol (ug/L) result,2003-2004,DEMO_C
URXUCR,"Creatinine, urine (mg/dL)",L24PP_C,Pesticides - Environmental - Urine,2003,2004,Laboratory,None,"Creatinine, urine (mg/dL)","URXUCR: Creatinine, urine (mg/dL)",2003-2004,DEMO_C
LBXTC,Total Cholesterol (mg/dL),TCHOL_E,Cholesterol - Total,2007,2008,Laboratory,None,Total Cholesterol (mg/dL),LBXTC: Total Cholesterol (mg/dL),2007-2008,DEMO_E
LBXTR,Triglyceride (mg/dL),TRIGLY_E,Cholesterol - LDL & Triglycerides,2007,2008,Laboratory,None,Triglyceride (mg/dL),LBXTR: Triglyceride (mg/dL),2007-2008,DEMO_E
URX24D,"2,4-D result (ug/L)",L26UPP_C,"Pesticides - Current Use - Urine (Formerly Priority Pesticides, Non-persistent Pesticide Metabolites)",2003,2004,Laboratory,None,"2,4-dicholorphenoxyacetic acid (ug/L)","URX24D: 2,4-dicholorphenoxyacetic acid (ug/L)",2003-2004,DEMO_C
URX25T,"2,4,5 Trichlorophenoxyacetic acid (ug/L)",L26UPP_C,"Pesticides - Current Use - Urine (Formerly Priority Pesticides, Non-persistent Pesticide Metabolites)",2003,2004,Laboratory,None,"2,4,5-Trichlorophenoxyacetic acid (ug/L)","URX25T: 2,4,5-Trichlorophenoxyacetic acid (ug/L)",2003-2004,DEMO_C
URXAPE,Acephate (ug/L),L26UPP_C,"Pesticides - Current Use - Urine (Formerly Priority Pesticides, Non-persistent Pesticide Metabolites)",2003,2004,Laboratory,None,Acephate (ug/L),URXAPE: Acephate (ug/L),2003-2004,DEMO_C
URXBSM,Bensulfuron methyl (ug/L),L26UPP_C,"Pesticides - Current Use - Urine (Formerly Priority Pesticides, Non-persistent Pesticide Metabolites)",2003,2004,Laboratory,None,Bensulfuron methyl (ug/L),URXBSM: Bensulfuron methyl (ug/L),2003-2004,DEMO_C
URXCBF,Carbofuranphenol (ug/L) result,L26UPP_C,"Pesticides - Current Use - Urine (Formerly Priority Pesticides, Non-persistent Pesticide Metabolites)",2003,2004,Laboratory,None,Carbofuranphenol (ug/L) result,URXCBF: Carbofuranphenol (ug/L) result,2003-2004,DEMO_C
URXCHS,Chlorsulfuron (ug/L),L26UPP_C,"Pesticides - Current Use - Urine (Formerly Priority Pesticides, Non-persistent Pesticide Metabolites)",2003,2004,Laboratory,None,Chlorsulfuron (ug/L),URXCHS: Chlorsulfuron (ug/L),2003-2004,DEMO_C
URXEMM,Ethametsulfuron methyl (ug/L),L26UPP_C,"Pesticides - Current Use - Urine (Formerly Priority Pesticides, Non-persistent Pesticide Metabolites)",2003,2004,Laboratory,None,Ethametsulfuron methyl (ug/L),URXEMM: Ethametsulfuron methyl (ug/L),2003-2004,DEMO_C
